flight_id,source_airport,destination_airport,distance,duration,aircraft_type,airline
FL1060,LAX,SIN,23841.9,1712,Boeing 787-9,Emirates
FL1061,LAX,SIN,23841.9,1712,Airbus A350-900,Singapore Airlines
FL1062,LAX,SIN,23841.9,1712,Boeing 777-300ER,Delta Air Lines
FL1063,LAX,DXB,16829.2,1217,Boeing 787-9,Turkish Airlines
FL1064,LAX,DXB,16829.2,1217,Airbus A350-900,British Airways
FL1065,LAX,DXB,16829.2,1217,Boeing 787-9,Japan Airlines
FL1066,ORD,JFK,1189.4,148,Boeing 737 MAX 8,Qatar Airways
FL1067,ORD,JFK,1189.4,148,Boeing 737 MAX 8,All Nippon Airways
FL1068,ORD,JFK,1189.4,148,Boeing 737-800,Air Canada
FL1069,ORD,LAX,2819.3,229,Boeing 737-800,Air France
FL1070,ORD,LAX,2819.3,229,Airbus A320neo,British Airways
FL1071,ORD,LAX,2819.3,229,Airbus A320neo,American Airlines
FL1072,ORD,DFW,1291.6,159,Airbus A320neo,Southwest Airlines
FL1073,ORD,DFW,1291.6,159,Boeing 737-800,British Airways
FL1074,ORD,DFW,1291.6,159,Boeing 737 MAX 8,Etihad Airways
FL1075,ORD,LHR,6749.5,506,Boeing 787-9,Air Canada
FL1076,ORD,LHR,6749.5,506,Airbus A350-900,Delta Air Lines
FL1077,ORD,LHR,6749.5,506,Boeing 777-300ER,American Airlines
FL1078,ORD,CDG,7094.1,530,Airbus A350-900,All Nippon Airways
FL1079,ORD,CDG,7094.1,530,Airbus A350-900,British Airways
FL1080,ORD,CDG,7094.1,530,Boeing 777-300ER,American Airlines
FL1081,ORD,FRA,7504.5,559,Boeing 787-9,British Airways
FL1082,ORD,FRA,7504.5,559,Airbus A350-900,Japan Airlines
FL1083,ORD,FRA,7504.5,559,Airbus A380-800,Etihad Airways
FL1084,ORD,AMS,7110.3,531,Boeing 787-9,Lufthansa
FL1085,ORD,AMS,7110.3,531,Boeing 777-300ER,Turkish Airlines
FL1086,ORD,AMS,7110.3,531,Airbus A350-900,Emirates
FL1087,ORD,NRT,19775.9,1425,Boeing 787-9,Lufthansa
FL1088,ORD,NRT,19775.9,1425,Boeing 777-300ER,All Nippon Airways
FL1089,ORD,NRT,19775.9,1425,Airbus A350-900,Qantas
FL1090,ORD,PEK,17156.7,1241,Boeing 787-9,Qantas
FL1091,ORD,PEK,17156.7,1241,Airbus A380-800,Qantas
FL1092,ORD,PEK,17156.7,1241,Boeing 787-9,Japan Airlines
FL1093,ORD,SIN,20337.9,1465,Airbus A350-900,Qatar Airways
FL1094,ORD,SIN,20337.9,1465,Airbus A380-800,Qantas
FL1095,ORD,SIN,20337.9,1465,Airbus A380-800,Southwest Airlines
FL1096,ORD,DXB,13397.0,975,Airbus A350-900,British Airways
FL1097,ORD,DXB,13397.0,975,Boeing 787-9,All Nippon Airways
FL1098,ORD,DXB,13397.0,975,Boeing 777-300ER,Air Canada
FL1099,DFW,JFK,2243.7,188,Boeing 737-800,Japan Airlines
FL1100,DFW,JFK,2243.7,188,Boeing 737 MAX 8,Southwest Airlines
FL1101,DFW,JFK,2243.7,188,Boeing 737-800,Japan Airlines
FL1102,DFW,LAX,1986.5,228,Boeing 737-800,Emirates
FL1103,DFW,LAX,1986.5,228,Boeing 737-800,American Airlines
FL1104,DFW,LAX,1986.5,228,Airbus A320neo,American Airlines
FL1105,DFW,ORD,1291.6,159,Airbus A320neo,Cathay Pacific
FL1106,DFW,ORD,1291.6,159,Boeing 737 MAX 8,Emirates
FL1107,DFW,ORD,1291.6,159,Boeing 737 MAX 8,All Nippon Airways
FL1108,DFW,LHR,8221.6,610,Boeing 787-9,Lufthansa
FL1109,DFW,LHR,8221.6,610,Boeing 787-9,All Nippon Airways
FL1110,DFW,LHR,8221.6,610,Boeing 787-9,KLM
FL1111,DFW,CDG,8552.9,633,Boeing 777-300ER,Emirates
FL1112,DFW,CDG,8552.9,633,Airbus A350-900,Etihad Airways
FL1113,DFW,CDG,8552.9,633,Airbus A380-800,Southwest Airlines
FL1114,DFW,FRA,9002.8,665,Airbus A350-900,Singapore Airlines
FL1115,DFW,FRA,9002.8,665,Airbus A380-800,KLM
FL1116,DFW,FRA,9002.8,665,Airbus A380-800,Qantas
FL1117,DFW,AMS,8616.0,638,Airbus A350-900,United Airlines
FL1118,DFW,AMS,8616.0,638,Airbus A350-900,Etihad Airways
FL1119,DFW,AMS,8616.0,638,Airbus A350-900,Japan Airlines
FL1120,DFW,NRT,21803.1,1569,Boeing 787-9,Turkish Airlines
FL1121,DFW,NRT,21803.1,1569,Airbus A350-900,American Airlines
FL1122,DFW,NRT,21803.1,1569,Boeing 777-300ER,All Nippon Airways
FL1123,DFW,PEK,19115.7,1379,Airbus A380-800,Air France
FL1124,DFW,PEK,19115.7,1379,Boeing 787-9,Etihad Airways
FL1125,DFW,PEK,19115.7,1379,Airbus A380-800,KLM
FL1126,DFW,SIN,21647.7,1558,Airbus A380-800,Qatar Airways
FL1127,DFW,SIN,21647.7,1558,Boeing 777-300ER,All Nippon Airways
FL1128,DFW,SIN,21647.7,1558,Airbus A350-900,Southwest Airlines
FL1129,DFW,DXB,14835.4,1077,Boeing 787-9,Air Canada
FL1130,DFW,DXB,14835.4,1077,Boeing 777-300ER,Etihad Airways
FL1131,DFW,DXB,14835.4,1077,Airbus A350-900,KLM
FL1132,LHR,JFK,5784.7,438,Airbus A380-800,Air France
FL1133,LHR,JFK,5784.7,438,Boeing 777-300ER,British Airways
FL1134,LHR,JFK,5784.7,438,Airbus A350-900,Southwest Airlines
FL1135,LHR,LAX,9833.2,724,Airbus A350-900,Lufthansa
FL1136,LHR,LAX,9833.2,724,Airbus A380-800,Air France
FL1137,LHR,LAX,9833.2,724,Airbus A380-800,Japan Airlines
FL1138,LHR,ORD,6749.5,506,Airbus A380-800,Singapore Airlines
FL1139,LHR,ORD,6749.5,506,Boeing 787-9,Southwest Airlines
FL1140,LHR,ORD,6749.5,506,Boeing 777-300ER,Japan Airlines
FL1141,LHR,DFW,8221.6,610,Boeing 787-9,Delta Air Lines
FL1142,LHR,DFW,8221.6,610,Airbus A350-900,Delta Air Lines
FL1143,LHR,DFW,8221.6,610,Boeing 777-300ER,Emirates
FL1144,LHR,CDG,347.0,64,Embraer E175,Lufthansa
FL1145,LHR,CDG,347.0,64,Embraer E175,KLM
FL1146,LHR,CDG,347.0,64,ATR 72-600,Air Canada
FL1147,LHR,FRA,654.0,95,Airbus A320neo,All Nippon Airways
FL1148,LHR,FRA,654.0,95,Boeing 737 MAX 8,Lufthansa
FL1149,LHR,FRA,654.0,95,Boeing 737 MAX 8,United Airlines
FL1150,LHR,AMS,380.8,68,Embraer E175,Lufthansa
FL1151,LHR,AMS,380.8,68,ATR 72-600,Southwest Airlines
FL1152,LHR,AMS,380.8,68,ATR 72-600,Air France
FL1153,LHR,NRT,11471.2,839,Airbus A380-800,United Airlines
FL1154,LHR,NRT,11471.2,839,Airbus A380-800,Singapore Airlines
FL1155,LHR,NRT,11471.2,839,Airbus A350-900,Air France
FL1156,LHR,PEK,9166.4,677,Boeing 777-300ER,Qantas
FL1157,LHR,PEK,9166.4,677,Airbus A350-900,Delta Air Lines
FL1158,LHR,PEK,9166.4,677,Boeing 777-300ER,Delta Air Lines
FL1159,LHR,SIN,11799.3,862,Boeing 787-9,All Nippon Airways
FL1160,LHR,SIN,11799.3,862,Boeing 777-300ER,United Airlines
FL1161,LHR,SIN,11799.3,862,Boeing 777-300ER,Qatar Airways
FL1162,LHR,DXB,5673.2,430,Airbus A350-900,Air France
FL1163,LHR,DXB,5673.2,430,Airbus A350-900,Qatar Airways
FL1164,LHR,DXB,5673.2,430,Boeing 787-9,Cathay Pacific
FL1165,CDG,JFK,6091.0,459,Boeing 777-300ER,Lufthansa
FL1166,CDG,JFK,6091.0,459,Boeing 777-300ER,British Airways
FL1167,CDG,JFK,6091.0,459,Boeing 787-9,Cathay Pacific
FL1168,CDG,LAX,10215.3,751,Boeing 787-9,Etihad Airways
FL1169,CDG,LAX,10215.3,751,Boeing 777-300ER,Southwest Airlines
FL1170,CDG,LAX,10215.3,751,Airbus A350-900,Emirates
FL1171,CDG,ORD,7094.1,530,Airbus A350-900,Qatar Airways
FL1172,CDG,ORD,7094.1,530,Boeing 777-300ER,Qatar Airways
FL1173,CDG,ORD,7094.1,530,Boeing 787-9,KLM
FL1174,CDG,DFW,8552.9,633,Boeing 787-9,Qatar Airways
FL1175,CDG,DFW,8552.9,633,Airbus A380-800,Southwest Airlines
FL1176,CDG,DFW,8552.9,633,Airbus A380-800,Japan Airlines
FL1177,CDG,LHR,347.0,64,ATR 72-600,Japan Airlines
FL1178,CDG,LHR,347.0,64,Embraer E175,Etihad Airways
FL1179,CDG,LHR,347.0,64,Bombardier CRJ-900,Delta Air Lines
FL1180,CDG,FRA,448.9,74,ATR 72-600,Japan Airlines
FL1181,CDG,FRA,448.9,74,ATR 72-600,British Airways
FL1182,CDG,FRA,448.9,74,Bombardier CRJ-900,Air Canada
FL1183,CDG,AMS,408.6,70,Embraer E175,Turkish Airlines
FL1184,CDG,AMS,408.6,70,ATR 72-600,Etihad Airways
FL1185,CDG,AMS,408.6,70,ATR 72-600,American Airlines
FL1186,CDG,NRT,11415.7,835,Airbus A350-900,Qantas
FL1187,CDG,NRT,11415.7,835,Airbus A350-900,KLM
FL1188,CDG,NRT,11415.7,835,Airbus A350-900,Air France
FL1189,CDG,PEK,9093.1,671,Airbus A380-800,Air France
FL1190,CDG,PEK,9093.1,671,Airbus A350-900,Turkish Airlines
FL1191,CDG,PEK,9093.1,671,Airbus A380-800,Air Canada
FL1192,CDG,SIN,11500.5,841,Airbus A350-900,Delta Air Lines
FL1193,CDG,SIN,11500.5,841,Airbus A350-900,Southwest Airlines
FL1194,CDG,SIN,11500.5,841,Boeing 777-300ER,Emirates
FL1195,CDG,DXB,5376.1,409,Airbus A350-900,Delta Air Lines
FL1196,CDG,DXB,5376.1,409,Airbus A350-900,Air France
FL1197,CDG,DXB,5376.1,409,Boeing 787-9,Southwest Airlines
FL1198,FRA,JFK,6519.9,490,Airbus A350-900,Lufthansa
FL1199,FRA,JFK,6519.9,490,Boeing 777-300ER,British Airways
FL1200,FRA,JFK,6519.9,490,Airbus A350-900,Delta Air Lines
FL1201,FRA,LAX,10645.2,781,Airbus A350-900,KLM
FL1202,FRA,LAX,10645.2,781,Airbus A380-800,Cathay Pacific
FL1203,FRA,LAX,10645.2,781,Airbus A380-800,All Nippon Airways
FL1204,FRA,ORD,7504.5,559,Airbus A380-800,Air Canada
FL1205,FRA,ORD,7504.5,559,Boeing 787-9,Cathay Pacific
FL1206,FRA,ORD,7504.5,559,Boeing 787-9,Qatar Airways
FL1207,FRA,DFW,9002.8,665,Airbus A380-800,American Airlines
FL1208,FRA,DFW,9002.8,665,Airbus A380-800,Lufthansa
FL1209,FRA,DFW,9002.8,665,Boeing 787-9,Southwest Airlines
FL1210,FRA,LHR,654.0,95,Boeing 737 MAX 8,Japan Airlines
FL1211,FRA,LHR,654.0,95,Airbus A320neo,KLM
FL1212,FRA,LHR,654.0,95,Boeing 737 MAX 8,Delta Air Lines
FL1213,FRA,CDG,448.9,74,Embraer E175,Southwest Airlines
FL1214,FRA,CDG,448.9,74,ATR 72-600,Air France
FL1215,FRA,CDG,448.9,74,Embraer E175,Turkish Airlines
FL1216,FRA,AMS,363.4,66,Embraer E175,KLM
FL1217,FRA,AMS,363.4,66,Embraer E175,Singapore Airlines
FL1218,FRA,AMS,363.4,66,Bombardier CRJ-900,Turkish Airlines
FL1219,FRA,NRT,10854.0,796,Airbus A350-900,Air Canada
FL1220,FRA,NRT,10854.0,796,Airbus A380-800,Delta Air Lines
FL1221,FRA,NRT,10854.0,796,Boeing 787-9,Turkish Airlines
FL1222,FRA,PEK,8558.1,634,Boeing 777-300ER,Lufthansa
FL1223,FRA,PEK,8558.1,634,Airbus A350-900,Cathay Pacific
FL1224,FRA,PEK,8558.1,634,Boeing 787-9,KLM
FL1225,FRA,SIN,10987.0,805,Airbus A380-800,Etihad Airways
FL1226,FRA,SIN,10987.0,805,Airbus A380-800,United Airlines
FL1227,FRA,SIN,10987.0,805,Airbus A350-900,Qantas
FL1228,FRA,DXB,4957.4,379,Boeing 787-8,Singapore Airlines
FL1229,FRA,DXB,4957.4,379,Airbus A330-300,Delta Air Lines
FL1230,FRA,DXB,4957.4,379,Airbus A330-300,Turkish Airlines
FL1231,AMS,JFK,6161.5,464,Boeing 787-9,Qantas
FL1232,AMS,JFK,6161.5,464,Boeing 777-300ER,Emirates
FL1233,AMS,JFK,6161.5,464,Boeing 787-9,Etihad Airways
FL1234,AMS,LAX,10210.4,750,Boeing 777-300ER,Etihad Airways
FL1235,AMS,LAX,10210.4,750,Airbus A380-800,KLM
FL1236,AMS,LAX,10210.4,750,Airbus A350-900,Singapore Airlines
FL1237,AMS,ORD,7110.3,531,Boeing 787-9,Etihad Airways
FL1238,AMS,ORD,7110.3,531,Boeing 777-300ER,Singapore Airlines
FL1239,AMS,ORD,7110.3,531,Airbus A350-900,Air France
FL1240,AMS,DFW,8616.0,638,Boeing 777-300ER,All Nippon Airways
FL1241,AMS,DFW,8616.0,638,Airbus A350-900,Air France
FL1242,AMS,DFW,8616.0,638,Airbus A350-900,Delta Air Lines
FL1243,AMS,LHR,380.8,68,Embraer E175,Singapore Airlines
FL1244,AMS,LHR,380.8,68,Embraer E175,Turkish Airlines
FL1245,AMS,LHR,380.8,68,Bombardier CRJ-900,Air France
FL1246,AMS,CDG,408.6,70,Bombardier CRJ-900,KLM
FL1247,AMS,CDG,408.6,70,Embraer E175,Emirates
FL1248,AMS,CDG,408.6,70,Embraer E175,Air Canada
FL1249,AMS,FRA,363.4,66,Embraer E175,Emirates
FL1250,AMS,FRA,363.4,66,ATR 72-600,KLM
FL1251,AMS,FRA,363.4,66,ATR 72-600,Air Canada
FL1252,AMS,NRT,10980.7,805,Boeing 787-9,American Airlines
FL1253,AMS,NRT,10980.7,805,Airbus A380-800,Turkish Airlines
FL1254,AMS,NRT,10980.7,805,Boeing 777-300ER,KLM
FL1255,AMS,PEK,8700.9,644,Airbus A380-800,British Airways
FL1256,AMS,PEK,8700.9,644,Boeing 777-300ER,Etihad Airways
FL1257,AMS,PEK,8700.9,644,Boeing 777-300ER,KLM
FL1258,AMS,SIN,11347.6,831,Boeing 787-9,Etihad Airways
FL1259,AMS,SIN,11347.6,831,Boeing 777-300ER,Lufthansa
FL1260,AMS,SIN,11347.6,831,Boeing 777-300ER,Turkish Airlines
FL1261,AMS,DXB,5311.0,404,Boeing 787-9,British Airways
FL1262,AMS,DXB,5311.0,404,Airbus A350-900,KLM
FL1263,AMS,DXB,5311.0,404,Airbus A350-900,Air France
FL1264,NRT,JFK,18721.1,1351,Airbus A380-800,Qantas
FL1265,NRT,JFK,18721.1,1351,Airbus A350-900,Delta Air Lines
FL1266,NRT,JFK,18721.1,1351,Boeing 787-9,Qatar Airways
FL1267,NRT,LAX,23615.0,1696,Boeing 777-300ER,British Airways
FL1268,NRT,LAX,23615.0,1696,Airbus A380-800,Etihad Airways
FL1269,NRT,LAX,23615.0,1696,Boeing 787-9,Turkish Airlines
FL1270,NRT,ORD,19775.9,1425,Airbus A380-800,Delta Air Lines
FL1271,NRT,ORD,19775.9,1425,Airbus A380-800,Qatar Airways
FL1272,NRT,ORD,19775.9,1425,Airbus A350-900,United Airlines
FL1273,NRT,DFW,21803.1,1569,Airbus A380-800,Etihad Airways
FL1274,NRT,DFW,21803.1,1569,Boeing 777-300ER,All Nippon Airways
FL1275,NRT,DFW,21803.1,1569,Airbus A350-900,Cathay Pacific
FL1276,NRT,LHR,11471.2,839,Airbus A350-900,Emirates
FL1277,NRT,LHR,11471.2,839,Airbus A380-800,Qatar Airways
FL1278,NRT,LHR,11471.2,839,Boeing 787-9,All Nippon Airways
FL1279,NRT,CDG,11415.7,835,Boeing 777-300ER,American Airlines
FL1280,NRT,CDG,11415.7,835,Airbus A380-800,Singapore Airlines
FL1281,NRT,CDG,11415.7,835,Airbus A380-800,All Nippon Airways
FL1282,NRT,FRA,10854.0,796,Boeing 777-300ER,British Airways
FL1283,NRT,FRA,10854.0,796,Boeing 787-9,Qatar Airways
FL1284,NRT,FRA,10854.0,796,Airbus A380-800,Southwest Airlines
FL1285,NRT,AMS,10980.7,805,Airbus A380-800,Delta Air Lines
FL1286,NRT,AMS,10980.7,805,Airbus A380-800,British Airways
FL1287,NRT,AMS,10980.7,805,Boeing 777-300ER,Qantas
FL1288,NRT,PEK,2140.9,181,Airbus A320neo,British Airways
FL1289,NRT,PEK,2140.9,181,Boeing 737-800,British Airways
FL1290,NRT,PEK,2140.9,181,Boeing 737-800,Lufthansa
FL1291,NRT,SIN,5418.5,412,Boeing 777-300ER,Lufthansa
FL1292,NRT,SIN,5418.5,412,Boeing 777-300ER,Singapore Airlines
FL1293,NRT,SIN,5418.5,412,Boeing 777-300ER,Southwest Airlines
FL1294,NRT,DXB,8228.8,610,Airbus A380-800,Southwest Airlines
FL1295,NRT,DXB,8228.8,610,Airbus A380-800,United Airlines
FL1296,NRT,DXB,8228.8,610,Boeing 787-9,American Airlines
FL1297,PEK,JFK,16130.9,1168,Airbus A380-800,KLM
FL1298,PEK,JFK,16130.9,1168,Boeing 787-9,Southwest Airlines
FL1299,PEK,JFK,16130.9,1168,Boeing 777-300ER,Air Canada
FL1300,PEK,LAX,20878.1,1503,Boeing 777-300ER,United Airlines
FL1301,PEK,LAX,20878.1,1503,Boeing 777-300ER,Qantas
FL1302,PEK,LAX,20878.1,1503,Airbus A350-900,Qantas
FL1303,PEK,ORD,17156.7,1241,Boeing 787-9,Qantas
FL1304,PEK,ORD,17156.7,1241,Airbus A350-900,Qantas
FL1305,PEK,ORD,17156.7,1241,Airbus A350-900,Southwest Airlines
FL1306,PEK,DFW,19115.7,1379,Boeing 787-9,Delta Air Lines
FL1307,PEK,DFW,19115.7,1379,Airbus A380-800,Singapore Airlines
FL1308,PEK,DFW,19115.7,1379,Airbus A350-900,KLM
FL1309,PEK,LHR,9166.4,677,Airbus A380-800,Southwest Airlines
FL1310,PEK,LHR,9166.4,677,Airbus A350-900,American Airlines
FL1311,PEK,LHR,9166.4,677,Boeing 777-300ER,Turkish Airlines
FL1312,PEK,CDG,9093.1,671,Airbus A380-800,Delta Air Lines
FL1313,PEK,CDG,9093.1,671,Boeing 787-9,American Airlines
FL1314,PEK,CDG,9093.1,671,Boeing 777-300ER,Southwest Airlines
FL1315,PEK,FRA,8558.1,634,Boeing 787-9,Southwest Airlines
FL1316,PEK,FRA,8558.1,634,Boeing 787-9,Singapore Airlines
FL1317,PEK,FRA,8558.1,634,Boeing 777-300ER,Cathay Pacific
FL1318,PEK,AMS,8700.9,644,Boeing 787-9,Cathay Pacific
FL1319,PEK,AMS,8700.9,644,Airbus A380-800,British Airways
FL1320,PEK,AMS,8700.9,644,Boeing 777-300ER,Qatar Airways
FL1321,PEK,NRT,2140.9,181,Boeing 737 MAX 8,Etihad Airways
FL1322,PEK,NRT,2140.9,181,Boeing 737-800,American Airlines
FL1323,PEK,NRT,2140.9,181,Boeing 737 MAX 8,KLM
FL1324,PEK,SIN,4500.3,347,Boeing 787-8,British Airways
FL1325,PEK,SIN,4500.3,347,Boeing 787-8,British Airways
FL1326,PEK,SIN,4500.3,347,Boeing 787-8,Turkish Airlines
FL1327,PEK,DXB,5964.6,451,Boeing 787-9,Air Canada
FL1328,PEK,DXB,5964.6,451,Boeing 777-300ER,Southwest Airlines
FL1329,PEK,DXB,5964.6,451,Boeing 777-300ER,Emirates
FL1330,SIN,JFK,18963.6,1368,Airbus A380-800,Air France
FL1331,SIN,JFK,18963.6,1368,Airbus A350-900,British Airways
FL1332,SIN,JFK,18963.6,1368,Boeing 777-300ER,Emirates
FL1333,SIN,LAX,23841.9,1712,Airbus A350-900,Turkish Airlines
FL1334,SIN,LAX,23841.9,1712,Airbus A350-900,Qantas
FL1335,SIN,LAX,23841.9,1712,Airbus A380-800,Southwest Airlines
FL1336,SIN,ORD,20337.9,1465,Airbus A380-800,United Airlines
FL1337,SIN,ORD,20337.9,1465,Boeing 787-9,American Airlines
FL1338,SIN,ORD,20337.9,1465,Airbus A350-900,Delta Air Lines
FL1339,SIN,DFW,21647.7,1558,Airbus A350-900,United Airlines
FL1340,SIN,DFW,21647.7,1558,Boeing 787-9,Lufthansa
FL1341,SIN,DFW,21647.7,1558,Boeing 777-300ER,All Nippon Airways
FL1342,SIN,LHR,11799.3,862,Airbus A350-900,Delta Air Lines
FL1343,SIN,LHR,11799.3,862,Airbus A350-900,Turkish Airlines
FL1344,SIN,LHR,11799.3,862,Airbus A380-800,United Airlines
FL1345,SIN,CDG,11500.5,841,Boeing 777-300ER,Cathay Pacific
FL1346,SIN,CDG,11500.5,841,Boeing 777-300ER,Southwest Airlines
FL1347,SIN,CDG,11500.5,841,Airbus A380-800,Emirates
FL1348,SIN,FRA,10987.0,805,Airbus A350-900,Japan Airlines
FL1349,SIN,FRA,10987.0,805,Airbus A350-900,Qatar Airways
FL1350,SIN,FRA,10987.0,805,Airbus A380-800,Etihad Airways
FL1351,SIN,AMS,11347.6,831,Airbus A350-900,Emirates
FL1352,SIN,AMS,11347.6,831,Airbus A350-900,Qatar Airways
FL1353,SIN,AMS,11347.6,831,Airbus A380-800,Singapore Airlines
FL1354,SIN,NRT,5418.5,412,Boeing 787-9,United Airlines
FL1355,SIN,NRT,5418.5,412,Boeing 777-300ER,Qantas
FL1356,SIN,NRT,5418.5,412,Airbus A350-900,American Airlines
FL1357,SIN,PEK,4500.3,347,Airbus A330-300,Qatar Airways
FL1358,SIN,PEK,4500.3,347,Boeing 787-8,Southwest Airlines
FL1359,SIN,PEK,4500.3,347,Boeing 767-300,British Airways
FL1360,SIN,DXB,5894.2,446,Airbus A380-800,Turkish Airlines
FL1361,SIN,DXB,5894.2,446,Airbus A380-800,Air Canada
FL1362,SIN,DXB,5894.2,446,Airbus A380-800,All Nippon Airways
FL1363,DXB,JFK,12171.5,889,Boeing 777-300ER,British Airways
FL1364,DXB,JFK,12171.5,889,Airbus A350-900,American Airlines
FL1365,DXB,JFK,12171.5,889,Airbus A380-800,Delta Air Lines
FL1366,DXB,LAX,16829.2,1217,Airbus A380-800,Southwest Airlines
FL1367,DXB,LAX,16829.2,1217,Boeing 777-300ER,KLM
FL1368,DXB,LAX,16829.2,1217,Airbus A350-900,British Airways
FL1369,DXB,ORD,13397.0,975,Airbus A380-800,American Airlines
FL1370,DXB,ORD,13397.0,975,Airbus A380-800,Southwest Airlines
FL1371,DXB,ORD,13397.0,975,Airbus A350-900,United Airlines
FL1372,DXB,DFW,14835.4,1077,Boeing 777-300ER,Etihad Airways
FL1373,DXB,DFW,14835.4,1077,Boeing 787-9,Qatar Airways
FL1374,DXB,DFW,14835.4,1077,Boeing 777-300ER,Japan Airlines
FL1375,DXB,LHR,5673.2,430,Airbus A350-900,Lufthansa
FL1376,DXB,LHR,5673.2,430,Boeing 787-9,Qatar Airways
FL1377,DXB,LHR,5673.2,430,Airbus A350-900,Lufthansa
FL1378,DXB,CDG,5376.1,409,Airbus A380-800,Emirates
FL1379,DXB,CDG,5376.1,409,Airbus A350-900,KLM
